,City,Lat,Lon,Temp,Humidity,Wind Speed,Cloudiness,Date
96,tual,-5.67,132.75,79.41,82,22.32,94,1595852368
97,yulara,-25.24,130.99,55.4,41,6.93,0,1595852368
98,pangkalanbuun,-2.68,111.62,76.89,84,3.85,80,1595852285
99,mount gambier,-37.83,140.77,44.6,81,5.82,0,1595852368
100,castro,-24.79,-50.01,62.65,69,5.37,96,1595852357
101,port elizabeth,-33.92,25.57,62.6,51,9.17,20,1595852211
102,jalu,29.03,21.55,100.69,16,7.54,0,1595852369
103,turukhansk,65.82,87.98,63.82,47,15.03,45,1595852369
104,cherskiy,68.75,161.3,37.89,82,16.53,65,1595852369
105,narrabri,-30.32,149.78,53.76,71,4.7,90,1595852369
106,urubamba,-13.3,-72.12,35.6,80,1.88,14,1595852369
107,vardo,70.37,31.11,70.7,56,11.41,12,1595852369
108,belmonte,-15.86,-38.88,77.0,73,6.93,20,1595852369
109,vila velha,-20.33,-40.29,74.71,78,3.36,20,1595852223
110,cap malheureux,-19.98,57.61,73.0,69,8.99,99,1595852369
111,san andres,12.58,-81.7,82.4,83,12.75,20,1595852370
112,berlevag,70.86,29.09,67.12,68,11.41,0,1595852370
113,escanaba,45.75,-87.06,66.58,82,6.93,1,1595852370
114,klaksvik,62.23,-6.59,50.0,87,14.99,75,1595852370
115,kaitangata,-46.28,169.85,44.01,92,1.99,56,1595852370
116,luanda,-8.84,13.23,80.6,65,11.41,75,1595852370
117,nikolskoye,59.7,30.79,72.59,44,8.95,75,1595852370
118,axim,4.87,-2.24,79.72,70,10.6,53,1595852370
119,ornskoldsvik,63.29,18.72,59.0,93,12.75,96,1595852201
120,salinopolis,-0.61,-47.36,81.57,73,6.11,58,1595852371
121,caravelas,-17.71,-39.25,75.33,71,9.73,35,1595852371
122,san rafael,-34.62,-68.33,42.6,65,2.73,70,1595852314
123,teguldet,57.31,88.17,69.08,54,4.59,52,1595852371
124,obilnoye,44.25,43.56,91.4,33,15.66,65,1595852371
125,bermejo,-32.88,-68.8,50.0,37,9.17,6,1595852371
126,hay river,60.82,-115.8,59.0,82,5.82,20,1595852371
127,antalya,36.77,30.72,91.4,59,11.41,20,1595852322
128,gat,31.61,34.76,87.66,73,14.99,0,1595852371
